hour,pump,agent,status,tank,tank_level_m,flow_m3s,head_m
5,PU7,2,1,T4,4.27,0.0483,85.7
6,PU7,2,0,T4,4.24,0.0,59.65
7,PU7,2,1,T4,3.33,0.05,82.48
8,PU7,2,1,T4,3.66,0.0502,81.92
9,PU7,2,1,T4,3.85,0.0506,81.26
10,PU7,2,1,T4,3.8,0.0509,80.62
11,PU7,2,1,T4,3.46,0.0511,80.17
12,PU7,2,1,T4,2.99,0.0511,80.16
13,PU7,2,1,T4,2.69,0.0516,79.28
14,PU7,2,1,T4,2.05,0.0511,80.15
15,PU7,2,1,T4,2.46,0.0387,100.67
16,PU7,2,1,T4,2.63,0.0382,101.24
17,PU7,2,1,T4,2.9,0.0385,100.96
18,PU7,2,1,T4,3.01,0.0382,101.32
19,PU7,2,1,T4,3.16,0.0384,101.01
20,PU7,2,1,T4,3.35,0.0385,100.87
21,PU7,2,1,T4,3.39,0.0381,101.39
22,PU7,2,1,T4,3.41,0.037,102.78
23,PU7,2,1,T4,3.13,0.0497,83.03
0,PU7,2,1,T4,2.8,0.0494,83.58
0,PU8,3,1,T5,1.0,0.0358,60.68
1,PU8,3,1,T5,1.38,0.0354,61.47
2,PU8,3,1,T5,1.88,0.0351,61.88
3,PU8,3,1,T5,2.43,0.0345,62.92
4,PU8,3,1,T5,3.16,0.0363,59.79
5,PU8,3,1,T5,3.87,0.0343,63.41
6,PU8,3,0,T5,4.27,0.0,36.64
7,PU8,3,0,T5,3.73,0.0,35.07
8,PU8,3,0,T5,3.0,0.0,30.61
9,PU8,3,0,T5,2.14,0.0,32.64
10,PU8,3,1,T5,2.34,0.0359,60.6
11,PU8,3,1,T5,2.45,0.0359,60.64
12,PU8,3,1,T5,2.53,0.0357,60.92
13,PU8,3,1,T5,2.57,0.0355,61.28
14,PU8,3,1,T5,2.71,0.0353,61.6
15,PU8,3,1,T5,2.82,0.0335,64.57
16,PU8,3,1,T5,2.81,0.0334,64.74
17,PU8,3,1,T5,2.7,0.0337,64.3
18,PU8,3,1,T5,2.62,0.0338,64.13
19,PU8,3,1,T5,2.48,0.0353,61.59
20,PU8,3,1,T5,2.44,0.035,62.12
21,PU8,3,1,T5,2.41,0.0336,64.54
22,PU8,3,1,T5,2.45,0.0339,63.99
23,PU8,3,1,T5,2.35,0.0316,67.65
0,PU8,3,1,T5,2.43,0.0318,67.29
0,PU10,4,1,T7,2.5,0.0309,47.01
1,PU10,4,1,T7,2.63,0.0307,47.63
2,PU10,4,1,T7,3.08,0.0298,50.52
3,PU10,4,1,T7,3.73,0.0289,53.49
4,PU10,4,0,T7,3.6,0.0,32.6
5,PU10,4,1,T7,2.56,0.0305,48.45
6,PU10,4,1,T7,3.35,0.0323,42.24
7,PU10,4,1,T7,4.08,0.0312,46.01
8,PU10,4,0,T7,2.97,0.0,23.97
9,PU10,4,1,T7,2.59,0.033,39.84
10,PU10,4,1,T7,2.29,0.0311,46.45
11,PU10,4,1,T7,1.95,0.0312,45.95
12,PU10,4,1,T7,1.46,0.0312,46.02
13,PU10,4,1,T7,0.91,0.0313,45.54
14,PU10,4,1,T7,0.37,0.0312,45.93
15,PU10,4,1,T7,0.28,0.0251,64.01
16,PU10,4,1,T7,1.02,0.0254,63.1
17,PU10,4,1,T7,1.34,0.0243,66.03
18,PU10,4,1,T7,1.84,0.0235,67.78
19,PU10,4,1,T7,2.53,0.0308,47.53
20,PU10,4,1,T7,1.77,0.0308,47.25
21,PU10,4,1,T7,0.91,0.0297,50.91
22,PU10,4,1,T7,0.48,0.0301,49.71
23,PU10,4,1,T7,0.23,0.0239,66.93
0,PU10,4,1,T7,0.94,0.0232,68.41
0,PU11,4,0,T7,2.5,0.0,47.01
1,PU11,4,0,T7,2.63,0.0,47.63
2,PU11,4,0,T7,3.08,0.0,50.52
3,PU11,4,0,T7,3.73,0.0,53.49
4,PU11,4,0,T7,3.6,0.0,32.6
5,PU11,4,0,T7,2.56,0.0,48.45
6,PU11,4,0,T7,3.35,0.0,42.24
7,PU11,4,0,T7,4.08,0.0,46.01
8,PU11,4,0,T7,2.97,0.0,23.97
9,PU11,4,0,T7,2.59,0.0,39.84
10,PU11,4,0,T7,2.29,0.0,46.45
11,PU11,4,0,T7,1.95,0.0,45.95
12,PU11,4,0,T7,1.46,0.0,46.02
13,PU11,4,0,T7,0.91,0.0,45.54
14,PU11,4,0,T7,0.37,0.0,45.93
15,PU11,4,1,T7,0.28,0.025,64.11
16,PU11,4,1,T7,1.02,0.0254,63.2
17,PU11,4,1,T7,1.34,0.0242,66.12
18,PU11,4,1,T7,1.84,0.0235,67.86
19,PU11,4,0,T7,2.53,0.0,47.53
20,PU11,4,0,T7,1.77,0.0,47.25
21,PU11,4,0,T7,0.91,0.0,50.91
22,PU11,4,0,T7,0.48,0.0,49.71
23,PU11,4,1,T7,0.23,0.0238,67.02
0,PU11,4,1,T7,0.94,0.0232,68.5
